ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
DWHHF,DEUTSCHE WOHNEN AG ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:58:36.993Z,2025-11-06
DWLAF,DOWLAIS GROUP PLC,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:01:24.723Z,2025-11-06
DWMNF,DOWA HOLDINGS CO NEW,otc,us,OTC Link,OS,True,USD,,,,2021-09-28T08:45:21.637Z,2025-11-06
DWNX,DELHI BANK CORP,otc,us,OTC Link,CS,True,USD,,BBG000PL6TY8,BBG001SLF4N0,2025-07-10T18:54:35.197Z,2025-11-06
DWVYF,DERWENT VALLEY HLDGS ORD,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T06:59:00.67Z,2025-11-06
DWWEF,DIAMOND ESTS WINE&SPIRIT,otc,us,OTC Link,OS,True,USD,,BBG00FFBF3W7,BBG002D7Z1W9,2025-07-01T07:00:31.369Z,2025-11-06
DWWYF,DOWWAY HLDGS LTD,otc,us,OTC Link,OS,True,USD,,,,2025-08-28T19:07:14.67Z,2025-11-06
DXBRF,BELLROCK BRANDS INC,otc,us,OTC Link,OS,True,USD,,BBG00MZ58PQ9,BBG00MP45FX0,2023-10-11T21:28:27.659Z,2025-11-06
DXJJF,WISDOMTREE ISSR ICAV UCIT,otc,us,OTC Link,ETF,True,USD,,,,2024-03-26T05:00:51.746Z,2025-11-06
DXMEF,XTRACKERS ERPE UCI ETF 1C,otc,us,OTC Link,ETF,True,USD,,,,2025-01-01T07:39:05.797Z,2025-11-06
DXPGF,DB ETC HELIER Z27.08.60,otc,us,Grey Market,OTHER,True,USD,,,,2025-02-19T09:49:49.962Z,2025-11-06
DXPPY,DEXUS UNSP/ADR,otc,us,OTC Link,ADRC,True,USD,,BBG00CL725Y3,BBG00CL726N3,2025-07-01T06:59:01.149Z,2025-11-06
DXSIF,DEXUS INDUSTRIA REIT,otc,us,OTC Link,OS,True,USD,,,,2025-07-01T07:01:29.343Z,2025-11-06
